week,region,price,log_price,price_change
2022-03-07,"Miami, FL",4.102,1.411474659650189,0.12748991735486825
2022-03-14,"Miami, FL",4.439,1.4904291258518982,0.0789544662017092
2022-03-21,"Miami, FL",4.287,1.45558718761584,-0.0348419382360583
2022-03-28,"Miami, FL",4.249,1.4466836611326745,-0.008903526483165392
2022-04-04,"Miami, FL",4.284,1.4548871525855023,0.008203491452827727
2022-04-11,"Miami, FL",4.189,1.432462041964898,-0.02242511062060437
2022-04-18,"Miami, FL",4.129,1.418035246903953,-0.014426795060944908
2022-04-25,"Miami, FL",4.23,1.4422019930581866,0.024166746154233643
2022-05-02,"Miami, FL",4.306,1.4600093989421714,0.017807405883984773
2022-05-09,"Miami, FL",4.322,1.4637182580846944,0.0037088591425229467
2022-05-16,"Miami, FL",4.599,1.5258388885577867,0.06212063047309235
2022-05-23,"Miami, FL",4.597,1.525403916824091,-0.000434971733695777
2022-05-30,"Miami, FL",4.671,1.541373181519971,0.015969264695880003
2022-06-06,"Miami, FL",4.861,1.5812441780633184,0.03987099654334747
2022-06-13,"Miami, FL",4.991,1.6076362904874721,0.026392112424153735
2022-06-20,"Miami, FL",4.918,1.5929019437940009,-0.01473434669347129
2022-06-27,"Miami, FL",4.807,1.5700731889118238,-0.02282875488217706
2022-07-04,"Miami, FL",4.667,1.5405164669676785,-0.02955672194414527
2022-07-11,"Miami, FL",4.554,1.5160059676415478,-0.024510499326130697
2022-07-18,"Miami, FL",4.408,1.4834210718506133,-0.03258489579093449
2022-07-25,"Miami, FL",4.241,1.4447990904924535,-0.03862198135815986
2022-08-01,"Miami, FL",4.119,1.4156104154539437,-0.029188675038509748
2022-08-08,"Miami, FL",3.942,1.3716882087305284,-0.04392220672341529
2022-08-15,"Miami, FL",3.802,1.3355272440662374,-0.036160964664291084
2022-08-22,"Miami, FL",3.692,1.3061683166406057,-0.02935892742563162
2022-08-29,"Miami, FL",3.743,1.319887428922292,0.013719112281686208
2022-09-05,"Miami, FL",3.632,1.2897834607390468,-0.030103968183245122
2022-09-12,"Miami, FL",3.575,1.273965176145971,-0.015818284593075882
2022-09-19,"Miami, FL",3.55,1.2669476034873244,-0.007017572658646554
2022-09-26,"Miami, FL",3.496,1.251619457793289,-0.015328145694035289
2022-10-03,"Miami, FL",3.295,1.1924061679544706,-0.05921328983881846
1993-04-05,Midwest,1.061,0.05921185963184603,
1993-04-12,Midwest,1.077,0.07417939817425147,0.014967538542405436
1993-04-19,Midwest,1.067,0.06485097231961627,-0.009328425854635197
1993-04-26,Midwest,1.078,0.07510747248680548,0.010256500167189209
1993-05-03,Midwest,1.073,0.07045846364856137,-0.004649008838244109
1993-05-10,Midwest,1.091,0.08709470685093373,0.016636243202372364
1993-05-17,Midwest,1.107,0.10165365372649982,0.014558946875566081
1993-05-24,Midwest,1.103,0.0980337402713654,-0.0036199134551344186
1993-05-31,Midwest,1.102,0.09712671073072282,-0.000907029540642576
1993-06-07,Midwest,1.095,0.09075436326846412,-0.006372347462258704
1993-06-14,Midwest,1.092,0.08801087732271337,-0.0027434859457507454
1993-06-21,Midwest,1.077,0.07417939817425147,-0.013831479148461903
1993-06-28,Midwest,1.068,0.06578774053800315,-0.008391657636248315
1993-07-05,Midwest,1.063,0.06109509935981083,-0.004692641178192326
1993-07-12,Midwest,1.054,0.05259245011917063,-0.008502649240640196
1993-07-19,Midwest,1.045,0.04401688541677426,-0.008575564702396371
1993-07-26,Midwest,1.036,0.035367143837291344,-0.008649741579482915
1993-08-02,Midwest,1.028,0.02761516703297339,-0.007751976804317953
1993-08-09,Midwest,1.026,0.025667746748577813,-0.0019474202843955783
1993-08-16,Midwest,1.025,0.024692612590371414,-0.0009751341582063984
1993-08-23,Midwest,1.043,0.042101176018635326,0.017408563428263912
1993-08-30,Midwest,1.04,0.03922071315328133,-0.002880462865353997
1993-09-06,Midwest,1.029,0.028587456851912472,-0.010633256301368858
1993-09-13,Midwest,1.02,0.01980262729617973,-0.008784829555732742
1993-09-20,Midwest,1.009,0.008959741371471801,-0.010842885924707928
1993-09-27,Midwest,1.016,0.015873349156290163,0.006913607784818362
1993-10-04,Midwest,1.063,0.06109509935981083,0.045221750203520664
1993-10-11,Midwest,1.065,0.06297479916138839,0.0018796998015775598
1993-10-18,Midwest,1.078,0.07510747248680548,0.012132673325417093
1993-10-25,Midwest,1.074,0.071389996086673,-0.00371747640013248
1993-11-01,Midwest,1.062,0.060153922819747144,-0.011236073266925856
1993-11-08,Midwest,1.051,0.04974209189481401,-0.010411830924933134
1993-11-15,Midwest,1.034,0.03343477608623742,-0.01630731580857659
1993-11-22,Midwest,1.026,0.025667746748577813,-0.007767029337659607
1993-11-29,Midwest,1.017,0.016857117066422806,-0.008810629682155006
1993-12-06,Midwest,0.994,-0.006018072325563021,-0.022875189391985826
1993-12-13,Midwest,0.969,-0.03149066709137085,-0.025472594765807828
1993-12-20,Midwest,0.948,-0.053400776727115296,-0.021910109635744447
1993-12-27,Midwest,0.949,-0.052346480372209236,0.001054296354906059
1994-01-03,Midwest,0.939,-0.0629397997738742,-0.010593319401664969
1994-01-10,Midwest,0.956,-0.044997365930735805,0.0179424338431384
1994-01-17,Midwest,0.974,-0.026343975339601977,0.018653390591133828
1994-01-24,Midwest,0.972,-0.028399474521698,-0.0020554991820960246
1994-01-31,Midwest,0.989,-0.011060947359424948,0.017338527162273056
1994-02-07,Midwest,0.989,-0.011060947359424948,0.0
1994-02-14,Midwest,1.001,0.0009995003330834232,0.012060447692508372
1994-02-21,Midwest,0.984,-0.016129381929883644,-0.017128882262967066
1994-02-28,Midwest,0.975,-0.025317807984289897,-0.009188426054406253
1994-03-07,Midwest,0.988,-0.012072581234269249,0.013245226750020649
1994-03-14,Midwest,0.981,-0.019182819416773987,-0.007110238182504738
1994-03-21,Midwest,0.984,-0.016129381929883644,0.003053437486890343
1994-03-28,Midwest,0.992,-0.008032171697264267,0.008097210232619377
1994-04-04,Midwest,0.989,-0.011060947359424948,-0.0030287756621606814
1994-04-11,Midwest,1.019,0.018821754240587667,0.029882701600012614
1994-04-18,Midwest,1.025,0.024692612590371414,0.005870858349783747
1994-04-25,Midwest,1.029,0.028587456851912472,0.0038948442615410576
1994-05-02,Midwest,1.029,0.028587456851912472,0.0
1994-05-09,Midwest,1.036,0.035367143837291344,0.006779686985378872
1994-05-16,Midwest,1.034,0.03343477608623742,-0.0019323677510539247
1994-05-23,Midwest,1.045,0.04401688541677426,0.01058210933053684
1994-05-30,Midwest,1.053,0.051643233151838386,0.007626347735064126
